"Nama","Review",""
"RASMARIA GIRSANG","Aplikasi kok jadi eror sih? Sampai saya uninstal dan instal lagi. Setiap saya cek detail penerbangan pasti slalu slalu kluar ke halaman utama. Kecewa saya setelah sekian lama saya pakai aplikasi traveloka.",""
"Istiqomah Ramlan","Hai traveloka... Kenapa jam ceck in smw hotel harus pukul 14.00.?? Apa bisa di ubah... Karenaa kadang kita sampai tujuan bisa jam 6 pagi",""
"Om Ansa","Traveloka...traveloka...?????? Setiap kali mau melakukan pembelian & menuju tahap pembayaran selalu saja ada notifikasi bahwa ; Nama atau/email yang anda masukan salah..???? Padahal email yang saya gunakan ini sudah benar & saya juga sudah gunakan berkali2 untuk membeli tiket(Sudah lama berlangganan...Ulasan LengkapTraveloka...traveloka...?????? Setiap kali mau melakukan pembelian & menuju tahap pembayaran selalu saja ada notifikasi bahwa ; Nama atau/email yang anda masukan salah..???? Padahal email yang saya gunakan ini sudah benar & saya juga sudah gunakan berkali2 untuk membeli tiket(Sudah lama berlangganan). Tolong diperhatikan lagi biar jangan terus2 mengecewakan kami para pelanggan. Terima kasih..?????? Biar saya mengekspresikan kekecewaan saya dengan memberikan Bintang 5...??",""
"Yuyu windy","Setelah saya update malahan tidak bisa untuk melihat tiket pesawat. Katanya ada kendala pada Koneksi anda, tapi signal saya baik* aja. Tapi sebelum di update tidak pernah ada kendala seperti ini",""
"Poppy Oktavianti","Kenapa app traveloka beberapa minggu ini selalu ada kendala. Entah server error atau kendala koneksi dimana koneksi selalu dalam keadaan baik karena untuk membuka app yang lain masih berjalan dengan baik. Mohon segera perbaiki app nya",""
"endah ulfah","Sebenrnya suka banget. Banget banget! Banyak promo dari pulsa kereta hotel bioskop ke traveloka tapi payment untuk bioskop jangan ribet lah masa cuman CC sama uangku doang. Mana kmrn pas top up uang ku lama bgt keisi nya nelfon sana-sini ga ada solusi sampe pulsa abis. Kecewa banget parah sampe tuh ...Ulasan LengkapSebenrnya suka banget. Banget banget! Banyak promo dari pulsa kereta hotel bioskop ke traveloka tapi payment untuk bioskop jangan ribet lah masa cuman CC sama uangku doang. Mana kmrn pas top up uang ku lama bgt keisi nya nelfon sana-sini ga ada solusi sampe pulsa abis. Kecewa banget parah sampe tuh uang jadi ga kepake buat nonton malah beli manual baru ke isi jam 10 malem setelah nunggu 8 jam lebih ??",""
"Ummu 'Abdirrohman","Akun sy di blokir sama traveloka tanpa alasan yg jelas. Sy bbrp kali install uninstall aplikasi ini mmg karena kapasitas hp sy yang kecil. Tapi tolong akun sy jangan di blokir",""
"dunia hayal","tidak pernah menyenangkan pelanggan. saya selalu di kecewakan. pelanggan lama tapi di anak tirikan. bikin kecewa terus.",""
"Dalton Fandi Deswanda","Tidak ada nomor telepon pihak hotel, beberapa hotel malah zonk alias tidak aktif lagi",""
"William Rosita","Traveloka semakin tidak jelas, refund saya dikatan sudah ditransfer dananya, tp ternyata cuman inbox kalau sdh ditransfer dananya, di cek ke rekening gk ada , tolong diperbaiki maskapaiÂ² yang tololl, itu uang orang woi bukan uang kalian, pembatalan dari maskapai bukan dari saya, jd tolong balikin ua...Ulasan LengkapTraveloka semakin tidak jelas, refund saya dikatan sudah ditransfer dananya, tp ternyata cuman inbox kalau sdh ditransfer dananya, di cek ke rekening gk ada , tolong diperbaiki maskapaiÂ² yang tololl, itu uang orang woi bukan uang kalian, pembatalan dari maskapai bukan dari saya, jd tolong balikin uang saya.",""
