"Nama","Review",""
"Sunarko facultiet recht","Kursi tiket habis, tp di lihat ketersediaan boking ada, bikin capek doang ni aplikasi, nggak akurat, mending di aplikasi sebelah jos gandosss...",""
"rezim tongkol","di tiket tidak ada keterangan terminal berapa, jadi sulit",""
"Rio Ardian","Ini kok dipaksa update apa maksudnya ya? Saya tu sibuk banget, kok dipaksa paksa update",""
"OKLINA TRIANA","Saya tidak bisa melalukan redund padahal penerbanganya besok",""
"Yanik Sulistyowati","hanya berputar2 saat berebut tiket lebaran bos...tiket kreta....ra oleh....",""
"Raja Sondang Sigiro","Ini koq mau masuk k apli ny susah banget ya slalu gangguan sinyal mulu tapi kalo buka apli sebelah malah langsung masuk brarti bukan gangguan sinyal nih",""
"sagero yt channel","TRAVEL AGENT ONLINE TERBURIKKKK.... DI TELEPON, WA, DAN EMAIL MENGENAI REFUND GAK DI ANGKAT2 DAN DIBALAS SAMA SEKALI. TOLONG PROFESIONALITASNYA MANEEEE? SAYA ITU MEMBER LAMA LU TONG.... KOK GINI AMAT PELAYANANNYA. BAPUK, BUSUK, JELEK, DLL LAH.",""
"rama rama","Pembatlan dari maskapai,uang sudah dikalian.uang costumer tidak kalian kembalikan, Status refund dalam proses terus,sudah hampir 30 hari",""
"KODAR AZIZ","Jembut lah.payahhhhh",""
"bang dodi","Gak bisa d andelin",""
"Rizal Screaming","Apk apa'an hotel tidak bisa bayar di tempat , kebnyakan hotel juga gk bisa refund . Kalau sudah boking tapi hotel belum siap gimna ?",""
"Pengguna Google","Aplikasi travel ????????????????? Saya sdh bayar order id 68848608 tp etiket blm diterima. Telp cs sibuk terus..........1 minggu berlalu.......Travel sebelah pesan bayar langsung dapat tiketnya Ulasan bagus direspon.....tp ulasan jelek dicuekin.....😡😡😡😡😡",""
"Fadil Armina Cilacap","respon refund lama, elayanan kurang profesional, saya tidak bisa cekin dan harus menunggu 3 jam untuk dapat kepastian bahwa sy tidak bisa cek in, kalo tau dr awal kan enak, bisa cari hotel lain, udah ga ada kepastian sy bawa keluarga dan sudah malam lagi... tolong diperbaiki lagi",""
"Maz Im","Selalu gagal pencarian",""
"Serly Lay","Kadang masi error",""
"dyah ayu pitaloka barata kurniawan","Sangat kecewa! Pembatalan tiket nya sangat rumit dan bertele tele. Tidak akan memesan kembali. Terimakasih",""
"D Sense","Aplikasi terparah menyesal sudah mempercayakan dan memakai aplikasi ini , refund dari 27 Maret hingga saat ini tidak ada kejelasan",""
"Nurhasniah Family","saya trauma sama ini....tahun lalu saya revund tiket kastamer servisnya janjinya 90 hari....pas 90 hari saya cek uangnya ngak masuk...malah ngirimin email salah...bilangnya sdh....eh saya telpon lagi di suruh nunggu lagi 3 hari....pas 3 hari dia ngirimin bukti transfer 3 bulan yang lalu klw mereka s...Ulasan Lengkapsaya trauma sama ini....tahun lalu saya revund tiket kastamer servisnya janjinya 90 hari....pas 90 hari saya cek uangnya ngak masuk...malah ngirimin email salah...bilangnya sdh....eh saya telpon lagi di suruh nunggu lagi 3 hari....pas 3 hari dia ngirimin bukti transfer 3 bulan yang lalu klw mereka sdh transfer....nyatanya uangnya ngak ada masuk..,kesel saya.....mau marah2 ya sama siapa? mana pulsa abis 100 ribu buat nelponin dia aja...hudeh....",""
"Celeste W","Not recommend ! Pesan hotel dari siang dan langsung bayar, begitu malem sampe hotel malah gak dapat kamar, ternyata e-voucher gak keluar, telepon cs 3 kali jawabannya sama : Mohon tunggu nanti ditelepon pihak terkait. Tapi sdh nunggu 2 jam gak ada yg telepon akhirnya cari tempat lain ! Akhirnya saya...Ulasan LengkapNot recommend ! Pesan hotel dari siang dan langsung bayar, begitu malem sampe hotel malah gak dapat kamar, ternyata e-voucher gak keluar, telepon cs 3 kali jawabannya sama : Mohon tunggu nanti ditelepon pihak terkait. Tapi sdh nunggu 2 jam gak ada yg telepon akhirnya cari tempat lain ! Akhirnya saya hapus aplikasi ini dan download yg lain. Ini sdh kedua kalinya terjadi. Tolong kalo aplikasi masih gak becus gak usah repot2 bersaing dgn aplikasi lain, masih banyak aplikasi serupa yg lebih mumpuni!",""
"grim gard","Ini aplikasi sampah refund gak kelar, cs wa gak pernah respon, hubungi twitter disuruh confirm ke cs wa, kan sampah bener, delete aja itu nomor wa gak guna bener",""
"farm ville","Ini gimana sih, mau refund udah 8hari responnya gak jelas banget, proses apanya kok gak kelar"", rugi dah terakhir deh pesan tiket disini",""
